athlete_key,geography_key,time_key,events_entered,sports_entered
559,291,2015,2,1
559,291,2016,2,1
559,291,2017,2,1
559,291,2018,2,1
559,291,2019,2,1
559,291,2022,3,1
559,291,2023,3,1
559,291,2024,2,1
559,291,2025,2,1
560,291,2019,3,1
560,291,2022,3,1
560,291,2023,3,1
560,291,2024,3,1
560,291,2025,3,1
561,291,2015,3,1
561,291,2016,3,1
561,291,2017,3,1
561,291,2018,3,1
561,291,2019,3,1
561,291,2022,3,1
561,291,2023,3,1
561,291,2024,3,1
561,291,2025,3,1
566,291,2025,2,1
567,291,2015,2,1
567,291,2016,2,1
567,291,2017,2,1
567,291,2018,2,1
567,291,2019,2,1
567,291,2022,2,1
567,291,2023,2,1
567,291,2024,2,1
567,291,2025,2,1
568,291,2018,2,1
569,291,2015,1,1
569,291,2016,1,1
570,291,2015,3,1
570,291,2016,3,1
570,291,2017,3,1
570,291,2019,3,1
573,405,2024,1,1
574,405,2023,1,1
574,405,2024,1,1
574,405,2025,1,1
576,405,2024,1,1
577,272,2017,1,1
577,272,2018,1,1
577,272,2019,1,1
577,405,2024,1,1
578,405,2023,1,1
578,405,2024,1,1
578,405,2025,1,1
580,-1,2017,1,1
580,272,2015,5,1
580,272,2016,1,1
582,-1,2022,1,1
582,272,2019,1,1
582,380,2017,1,1
582,380,2018,1,1
582,405,2023,1,1
582,405,2024,1,1
582,405,2025,1,1
583,405,2025,1,1
584,405,2024,1,1
588,322,2022,1,1
588,322,2023,1,1
588,322,2024,1,1
588,322,2025,1,1
588,327,2015,2,1
590,-1,2015,3,1
590,-1,2016,3,1
590,-1,2017,3,1
590,-1,2018,3,1
590,322,2019,3,1
590,322,2022,3,1
590,322,2023,3,1
590,322,2024,3,1
590,322,2025,3,1
591,322,2019,3,1
591,322,2022,3,1
592,-1,2018,2,1
592,322,2019,3,1
592,322,2022,3,1
593,322,2023,1,1
593,322,2024,1,1
593,322,2025,1,1
594,-1,2016,1,1
594,-1,2017,1,1
594,-1,2018,1,1
594,322,2019,1,1
594,322,2022,1,1
594,322,2023,1,1
594,322,2024,1,1
594,322,2025,1,1
595,322,2022,1,1
595,322,2023,1,1
595,322,2024,1,1
595,322,2025,1,1
596,322,2022,3,1
596,322,2023,1,1
596,322,2024,1,1
596,322,2025,1,1
597,322,2019,1,1
597,322,2022,1,1
597,322,2023,1,1
597,322,2024,1,1
597,322,2025,1,1
600,322,2023,1,1
600,322,2024,1,1
600,322,2025,1,1
602,322,2022,3,1
602,322,2023,3,1
